episode,reward,steps
349,-18.0,1277
350,-19.0,1165
351,-17.0,1459
352,-18.0,1439
353,-19.0,1447
354,-19.0,1316
355,-20.0,1035
356,-15.0,1741
357,-18.0,1378
358,-17.0,1403
359,-17.0,1903
360,-17.0,1668
361,-19.0,1403
362,-19.0,1199
363,-17.0,1380
364,-19.0,1497
365,-17.0,1430
366,-19.0,1243
367,-20.0,1291
368,-18.0,1427
369,-19.0,1253
370,-16.0,1666
371,-20.0,1233
372,-20.0,1217
373,-20.0,1188
374,-18.0,1498
375,-19.0,1167
376,-20.0,1484
377,-16.0,1778
378,-17.0,1485
379,-17.0,1482
380,-17.0,1481
381,-17.0,1744
382,-18.0,1420
383,-20.0,1331
384,-19.0,1466
385,-18.0,1462
386,-20.0,1261
387,-18.0,1275
388,-21.0,1341
389,-16.0,1672
390,-14.0,2004
391,-17.0,1586
392,-14.0,1739
393,-17.0,1828
394,-18.0,1577
395,-17.0,1706
396,-15.0,1750
397,-18.0,1562
398,-16.0,1807
399,-19.0,1764
400,-17.0,1797
401,-17.0,1705
402,-17.0,1654
403,-18.0,1422
404,-16.0,1748
405,-20.0,1422
406,-16.0,2070
407,-16.0,1895
408,-18.0,1480
409,-13.0,2294
410,-16.0,1481
411,-20.0,1505
412,-16.0,1679
413,-18.0,1750
414,-19.0,1757
415,-18.0,1720
416,-17.0,1880
417,-17.0,1863
418,-16.0,1785
419,-15.0,1856
420,-16.0,1731
421,-17.0,1348
422,-17.0,1893
423,-18.0,1755
424,-14.0,2374
425,-20.0,1733
426,-18.0,1584
427,-18.0,1518
428,-16.0,1693
429,-18.0,1711
430,-18.0,2020
431,-20.0,1808
432,-15.0,2089
433,-20.0,1352
434,-19.0,1622
435,-16.0,1539
436,-20.0,1577
437,-17.0,1530
438,-17.0,1763
439,-20.0,1616
440,-19.0,1843
441,-17.0,1483
442,-19.0,1689
443,-15.0,2064
444,-19.0,1464
445,-18.0,1547
446,-19.0,1721
447,-18.0,1667
448,-20.0,1795
449,-19.0,1995
450,-18.0,1435
451,-16.0,2206
452,-19.0,1992
453,-18.0,1451
454,-19.0,1835
455,-20.0,1545
456,-20.0,1757
457,-20.0,1629
458,-17.0,1768
459,-15.0,1746
460,-15.0,2122
461,-16.0,2246
462,-19.0,1856
463,-18.0,1649
464,-18.0,1745
465,-18.0,1942
466,-19.0,1673
467,-13.0,2527
468,-19.0,1660
469,-19.0,1970
470,-20.0,2023
471,-17.0,2069
472,-18.0,2125
473,-16.0,2224
474,-16.0,2223
475,-18.0,1941
476,-14.0,2232
477,-19.0,1974
478,-14.0,2581
479,-17.0,2038
480,-16.0,2310
481,-18.0,1556
482,-14.0,2275
483,-19.0,1777
484,-18.0,2113
485,-20.0,2161
486,-18.0,2178
487,-20.0,2021
488,-20.0,1926
489,-15.0,2005
490,-19.0,2066
491,-16.0,2498
492,-15.0,2005
493,-14.0,2115
494,-20.0,1928
495,-17.0,2293
496,-20.0,1656
497,-20.0,1818
498,-17.0,2342
499,-16.0,2283
500,-14.0,2380
501,-14.0,2089
502,-18.0,2043
503,-14.0,1908
504,-20.0,1281
505,-17.0,1802
506,-19.0,1977
507,-16.0,2266
508,-16.0,1822
509,-21.0,1874
510,-18.0,2085
511,-18.0,1956
512,-15.0,2462
513,-17.0,2174
514,-18.0,1957
515,-19.0,1898
516,-18.0,1955
517,-16.0,2230
518,-19.0,1705
519,-20.0,1993
520,-15.0,2081
521,-15.0,2182
522,-16.0,2171
523,-17.0,2086
524,-16.0,1722
525,-20.0,1903
526,-15.0,2170
527,-18.0,2308
528,-21.0,1882
529,-14.0,2488
530,-19.0,2139
531,-19.0,2069
532,-20.0,1783
533,-16.0,2362
534,-17.0,2481
535,-13.0,2745
536,-19.0,2215
537,-15.0,2875
538,-20.0,1920
539,-13.0,2859
540,-15.0,2688
541,-16.0,2306
542,-17.0,2020
543,-16.0,2568
544,-20.0,2022
545,-16.0,2059
546,-17.0,2492
547,-15.0,2669
548,-16.0,2165
549,-16.0,1965
550,-16.0,2072
551,-16.0,2273
552,-20.0,2158
553,-16.0,2454
554,-17.0,2263
555,-20.0,1834
556,-16.0,2281
557,-14.0,2654
558,-21.0,2294
559,-20.0,2213
560,-15.0,2145
561,-16.0,2527
562,-17.0,2553
563,-15.0,2174
564,-19.0,1893
565,-13.0,2482
566,-19.0,2237
567,-13.0,2711
568,-20.0,1804
569,-14.0,2835
570,-15.0,2489
571,-18.0,1938
572,-14.0,2432
573,-16.0,2725
574,-14.0,2406
575,-16.0,2305
576,-17.0,2439
577,-17.0,2260
578,-10.0,3117
579,-17.0,2342
580,-16.0,2318
581,-17.0,2181
582,-15.0,2415
583,-12.0,3072
584,-15.0,2711
585,-17.0,2366
586,-19.0,2111
587,-18.0,2349
588,-18.0,2440
589,-15.0,2060
590,-20.0,1857
591,-15.0,2607
592,-18.0,2088
593,-17.0,2913
594,-18.0,2096
595,-17.0,1792
596,-15.0,2609
597,-18.0,1723
598,-18.0,1997
599,-17.0,2252
600,-15.0,2809
601,-20.0,1764
602,-15.0,2404
603,-17.0,1835
604,-17.0,2253
605,-17.0,2302
606,-16.0,2357
607,-17.0,2342
608,-16.0,2149
609,-16.0,2081
610,-20.0,2018
611,-20.0,2014
612,-13.0,2687
613,-16.0,2376
614,-16.0,2534
615,-17.0,2317
616,-16.0,2469
617,-18.0,2316
618,-17.0,2140
619,-16.0,2104
620,-15.0,2653
621,-18.0,2545
622,-15.0,2764
623,-15.0,2628
624,-19.0,2001
625,-17.0,1805
626,-16.0,2362
627,-15.0,2394
628,-17.0,2383
629,-16.0,2656
630,-18.0,2184
631,-18.0,2478
632,-18.0,1974
633,-17.0,2256
634,-16.0,2437
635,-15.0,2719
636,-19.0,1744
637,-19.0,1984
638,-17.0,2705
639,-19.0,1928
640,-19.0,2340
641,-21.0,1957
642,-18.0,2109
643,-17.0,2135
644,-15.0,3119
645,-13.0,3080
646,-18.0,2698
647,-14.0,2529
648,-13.0,2871
649,-10.0,3098
