Episode,Reward,Steps
332,-21.0,2217
333,-18.0,2316
334,-18.0,2163
335,-14.0,2111
336,-18.0,2149
337,-17.0,2275
338,-19.0,1866
339,-16.0,2214
340,-15.0,2107
341,-15.0,2268
342,-19.0,2089
343,-20.0,1895
344,-14.0,2307
345,-16.0,1981
346,-17.0,2091
347,-20.0,1855
348,-15.0,1996
349,-17.0,2246
350,-15.0,2370
351,-18.0,2143
352,-13.0,2057
353,-15.0,2254
354,-10.0,2730
355,-16.0,1961
356,-16.0,2109
357,-16.0,2093
358,-14.0,1934
359,-13.0,2328
360,-16.0,2077
361,-16.0,2028
362,-14.0,2155
363,-15.0,2067
364,-12.0,2203
365,-15.0,2293
366,-19.0,1452
367,-15.0,2626
368,-13.0,2264
369,-15.0,2151
370,-17.0,2220
371,-18.0,2021
372,-13.0,2897
373,-13.0,2500
374,-18.0,2830
375,-14.0,2592
376,-16.0,2656
377,-13.0,3038
378,-11.0,2892
379,-14.0,2185
380,-16.0,2197
381,-15.0,2339
382,-8.0,3619
383,-18.0,2850
384,-15.0,2809
385,-17.0,2438
386,-13.0,2979
387,-9.0,2587
388,-14.0,2604
389,-15.0,2894
390,-12.0,3327
391,-15.0,3089
392,-17.0,2818
393,-13.0,3172
394,-14.0,2568
395,-9.0,3670
396,-7.0,3596
397,-13.0,2832
398,-12.0,3337
399,-4.0,3602
400,-13.0,2644
401,-12.0,2574
402,-11.0,2972
403,-10.0,2970
404,-9.0,3073
405,-13.0,3439
406,-7.0,3414
407,-2.0,4950
408,-7.0,3371
409,6.0,3454
410,-4.0,3291
411,8.0,3029
412,-2.0,3515
413,-4.0,3617
414,1.0,3604
415,4.0,3163
416,5.0,3528
417,-2.0,3564
418,10.0,3022
419,9.0,2912
420,2.0,3696
421,10.0,3098
422,4.0,3662
423,19.0,1791
424,-5.0,3478
425,12.0,2580
426,5.0,3202
427,9.0,2832
428,-8.0,2584
429,16.0,2094
430,13.0,2412
431,13.0,2428
432,15.0,2379
433,19.0,1838
434,15.0,2262
435,14.0,2326
436,16.0,2302
437,11.0,2524
438,17.0,2016
439,17.0,2091
440,13.0,2288
441,12.0,2296
442,11.0,2788
443,3.0,3246
444,13.0,2472
445,2.0,3523
446,16.0,2130
447,15.0,2416
448,10.0,2793
449,12.0,2237
450,15.0,2308
451,16.0,2059
452,12.0,2421
453,15.0,2352
454,11.0,2535
455,9.0,2629
456,18.0,1963
457,13.0,2604
458,12.0,2752
459,18.0,2047
460,9.0,2955
461,10.0,2738
462,16.0,2253
463,12.0,2951
464,12.0,2780
465,13.0,2550
466,15.0,2442
467,11.0,2767
468,10.0,2610
469,18.0,2161
470,14.0,2473
471,9.0,2975
472,14.0,2858
473,15.0,2303
474,13.0,2559
475,12.0,3072
476,12.0,2815
477,6.0,3634
478,16.0,2411
479,14.0,2767
480,8.0,3579
481,9.0,2698
482,16.0,2618
483,15.0,2443
484,11.0,2707
485,14.0,2498
486,10.0,3345
487,14.0,2836
488,12.0,2835
489,15.0,2307
490,14.0,2530
491,11.0,2714
492,15.0,2497
493,15.0,2422
494,18.0,2051
495,19.0,1903
496,13.0,2544
497,14.0,2530
498,17.0,2160
499,16.0,2067
500,12.0,2711
501,16.0,2086
502,15.0,2168
503,15.0,2120
504,16.0,2336
505,17.0,2152
506,18.0,1942
507,10.0,3190
508,15.0,2262
509,18.0,2011
510,18.0,1926
511,17.0,2015
512,17.0,2006
513,16.0,2220
514,16.0,2201
515,15.0,2121
516,18.0,1878
517,18.0,1946
518,19.0,1899
519,19.0,2010
520,19.0,1911
521,18.0,2124
522,14.0,2376
523,15.0,2164
524,15.0,2151
525,19.0,1847
526,16.0,2015
527,19.0,1896
528,18.0,1994
529,20.0,1758
530,16.0,2082
531,16.0,2078
532,16.0,2182
533,18.0,1886
534,13.0,2779
535,17.0,2143
536,17.0,2099
537,15.0,2282
538,16.0,2078
539,18.0,2015
540,13.0,2276
541,16.0,2154
542,15.0,2245
543,13.0,2353
544,13.0,2593
545,14.0,2227
546,11.0,2764
547,17.0,2151
548,19.0,1868
549,18.0,2021
550,18.0,1933
551,16.0,2249
552,15.0,2155
553,15.0,2378
554,19.0,1962
555,11.0,2766
556,16.0,2190
557,17.0,2065
558,10.0,2980
559,15.0,2250
560,13.0,2390
561,17.0,2026
562,15.0,2265
563,18.0,2078
564,16.0,2243
565,18.0,1964
566,10.0,3050
567,14.0,2261
568,16.0,2217
569,18.0,2084
570,14.0,2424
571,15.0,2654
572,17.0,2071
573,19.0,1998
574,17.0,2108
575,15.0,2344
576,15.0,2474
577,18.0,1999
578,16.0,2200
579,16.0,2327
580,14.0,2438
581,19.0,1879
582,15.0,2485
583,13.0,2715
584,16.0,2074
585,20.0,1774
586,15.0,2499
587,20.0,1827
588,15.0,2383
589,19.0,1872
590,16.0,2195
591,18.0,1979
592,15.0,2334
593,16.0,2044
594,17.0,2154
595,16.0,2271
596,17.0,2463
597,17.0,2196
598,16.0,2543
599,16.0,2377
600,17.0,2242
601,15.0,2709
602,12.0,2575
603,19.0,1964
604,16.0,2214
605,12.0,2880
606,18.0,2122
607,14.0,2498
608,15.0,2293
609,16.0,2116
610,13.0,2537
611,15.0,2408
612,18.0,1951
613,17.0,2110
614,15.0,2144
615,19.0,1856
616,19.0,1983
617,19.0,1837
618,18.0,1966
619,14.0,2443
620,17.0,2035
621,17.0,2042
622,19.0,1808
623,13.0,2565
624,15.0,2353
625,20.0,1817
626,17.0,2069
627,15.0,2403
628,17.0,1979
629,19.0,2093
630,17.0,2058
631,14.0,2413
632,16.0,2109
633,19.0,1948
634,15.0,2331
635,18.0,1932
636,15.0,2374
637,18.0,2009
638,15.0,2512
639,20.0,1774
640,18.0,2115
641,13.0,2919
642,17.0,2075
643,18.0,2175
644,16.0,2196
645,18.0,2040
646,16.0,2096
647,16.0,2299
648,14.0,2274
649,18.0,2062
650,19.0,1889
651,19.0,1840
652,20.0,1813
653,21.0,1889
654,18.0,2109
655,19.0,1836
656,18.0,2265
657,18.0,2132
658,17.0,2135
659,18.0,1998
660,18.0,2055
661,19.0,1868
662,16.0,2378
663,18.0,2181
664,17.0,2151
665,16.0,2416
666,16.0,2479
667,19.0,1973
668,17.0,2211
669,20.0,1757
670,15.0,2576
671,18.0,2133
672,21.0,1706
673,18.0,2125
674,17.0,2014
675,18.0,2085
676,18.0,1916
677,15.0,2551
678,19.0,2037
679,16.0,2353
680,14.0,2556
681,17.0,1989
682,14.0,2503
683,13.0,2745
684,13.0,2681
685,18.0,2208
686,18.0,1858
687,19.0,1889
688,21.0,1786
689,17.0,2185
690,15.0,2367
691,15.0,2361
692,15.0,2354
693,16.0,2305
694,15.0,2576
695,19.0,1933
696,20.0,1803
697,16.0,2302
698,19.0,1858
699,17.0,2085
700,20.0,1894
701,19.0,1973
702,16.0,2191
703,14.0,2441
704,13.0,2878
705,17.0,2197
706,17.0,2150
707,18.0,1846
708,16.0,2317
709,17.0,2826
710,20.0,2163
711,16.0,2362
712,17.0,2786
713,17.0,2011
714,19.0,1884
715,16.0,2685
716,14.0,2340
717,21.0,1710
718,20.0,1909
719,19.0,1966
720,19.0,1842
721,20.0,1895
722,14.0,2496
723,18.0,2109
724,18.0,2067
725,18.0,2178
726,15.0,2267
727,20.0,1828
728,17.0,2119
729,17.0,2140
730,19.0,1941
731,18.0,2403
732,17.0,2282
733,19.0,1810
734,19.0,1837
735,17.0,2086
736,17.0,2423
737,17.0,2369
738,19.0,1828
739,18.0,2079
740,20.0,1836
741,18.0,1947
742,16.0,2492
743,16.0,2143
744,13.0,2208
745,18.0,1966
746,18.0,2049
747,19.0,1944
748,21.0,1705
749,14.0,2512
750,15.0,2294
751,17.0,2337
752,20.0,1837
753,12.0,2647
754,15.0,2198
755,19.0,2211
756,19.0,1950
757,17.0,2101
758,14.0,2624
759,16.0,2063
760,17.0,2183
761,15.0,2619
